intent,snippet
"python, subprocess: reading output from subprocess",sys.stdout.flush()
Converting integer to string,str(i)
Converting integer to string,a.__str__()
Converting integer to string,str(a)
Method to sort a list of lists?,L.sort(key=operator.itemgetter(1))
How do I add space between two variables after a print in Python,print(str(count) + '    ' + str(conv))
Pandas changing cell values based on another cell,"df.fillna(method='ffill', inplace=True)"
Is there a way to make the Tkinter text widget read only?,text.config(state=DISABLED)
Python sum of ASCII values of all characters in a string,"sum(map(ord, string))"
How to apply itertools.product to elements of a list of lists?,list(itertools.product(*arrays))
print number with commas as thousands separators,"'{:,}'.format(value)"
print number with commas as thousands separators,"locale.setlocale(locale.LC_ALL, 'en_US')
locale.format('%d', 1255000, grouping=True)"
"How to pass through a list of queries to a pandas dataframe, and output the list of results?","df[df.Col1.isin(['men', 'rocks', 'mountains'])]"
Accessing a value in a tuple that is in a list,[x[1] for x in L]
splitting unicode string into words,'\u0440\u0430\u0437 \u0434\u0432\u0430 \u0442\u0440\u0438'.split()
Django - How to sort queryset by number of character in a field,MyModel.objects.extra(select={'length': 'Length(name)'}).order_by('length')
Python - Choose a dictionary in list which key is closer to a global value,"min(dicts, key=lambda x: (abs(1.77672955975 - x['ratio']), -x['pixels']))"
Finding missing values in a numpy array,m[~m.mask]
Use of findall and parenthesis in Python,"re.findall('\\b[A-Z]', formula)"
How to define two-dimensional array in python,matrix = [([0] * 5) for i in range(5)]
Creating a numpy array of 3D coordinates from three 1D arrays,"np.vstack(np.meshgrid(x_p, y_p, z_p)).reshape(3, -1).T"
How to find the minimum value in a numpy matrix?,arr[arr != 0].min()
Python Selenium: Find object attributes using xpath,"browser.find_elements_by_xpath(""//*[@type='submit']/@value"").text"
Python Selenium: Find object attributes using xpath,"browser.find_elements_by_xpath(""//*[@type='submit']"").get_attribute('value')"
parse a YAML file,"with open('example.yaml', 'r') as stream:
    try:
        print((yaml.load(stream)))
    except yaml.YAMLError as exc:
        print(exc)"
parse a YAML file,"with open('example.yaml') as stream:
    try:
        print((yaml.load(stream)))
    except yaml.YAMLError as exc:
        print(exc)"
How to swap a group of column headings with their values in Pandas,"pd.DataFrame(df.columns[np.argsort(df.values)], df.index, np.unique(df.values))"
Getting today's date in YYYY-MM-DD in Python?,datetime.datetime.today().strftime('%Y-%m-%d')
How to urlencode a querystring in Python?,urllib.parse.quote_plus('string_of_characters_like_these:$#@=?%^Q^$')
python sorting dictionary by length of values,"print(' '.join(sorted(d, key=lambda k: len(d[k]), reverse=True)))"
convert list of tuples to multiple lists in Python,"map(list, zip(*[(1, 2), (3, 4), (5, 6)]))"
convert list of tuples to multiple lists in Python,"map(list, zip(*[(1, 2), (3, 4), (5, 6)]))"
convert list of tuples to multiple lists in Python,"zip(*[(1, 2), (3, 4), (5, 6)])"
Create a list of tuples with adjacent list elements if a condition is true,"[(x, y) for x, y in zip(myList, myList[1:]) if y == 9]"
How can i set proxy with authentication in selenium chrome web driver using python,driver.get('http://www.google.com.br')
Python reversing an UTF-8 string,b = a.decode('utf8')[::-1].encode('utf8')
Extracting date from a string in Python,"dparser.parse('monkey 2010-07-32 love banana', fuzzy=True)"
Extracting date from a string in Python,"dparser.parse('monkey 20/01/1980 love banana', fuzzy=True)"
Extracting date from a string in Python,"dparser.parse('monkey 10/01/1980 love banana', fuzzy=True)"
Efficient way to convert a list to dictionary,"dict(map(lambda s: s.split(':'), ['A:1', 'B:2', 'C:3', 'D:4']))"
How can I check if a string contains ANY letters from the alphabet?,"re.search('[a-zA-Z]', the_string)"
Converting a Pandas GroupBy object to DataFrame,"DataFrame({'count': df1.groupby(['Name', 'City']).size()}).reset_index()"
Removing all non-numeric characters from string in Python,"re.sub('[^0-9]', '', 'sdkjh987978asd098as0980a98sd')"
List comprehension with if statement,[y for y in a if y not in b]
How to subset a dataset in pandas dataframe?,df.groupby('ID').head(4)
How to unzip a list of tuples into individual lists?,zip(*l)
How do I combine two lists into a dictionary in Python?,"dict(zip([1, 2, 3, 4], ['a', 'b', 'c', 'd']))"
How do I combine two lists into a dictionary in Python?,"dict(zip([1, 2, 3, 4], ['a', 'b', 'c', 'd']))"
How do I get the different parts of a Flask request's url?,request.url
How to remove ^M from a text file and replace it with the next line,"somestring.replace('\\r', '')"
Best way to encode tuples with json,"simplejson.dumps(dict([('%d,%d' % k, v) for k, v in list(d.items())]))"
Converting string into datetime,"datetime.strptime('Jun 1 2005  1:33PM', '%b %d %Y %I:%M%p')"
Converting string into datetime,parser.parse('Aug 28 1999 12:00AM')
Python - Extract folder path from file path,os.path.split(os.path.abspath(existGDBPath))
Python - Extract folder path from file path,os.path.dirname(os.path.abspath(existGDBPath))
Post JSON using Python Requests,"requests.post('http://httpbin.org/post', json={'test': 'cheers'})"
Python - Remove dictionary from list if key is equal to value,a = [x for x in a if x['link'] not in b]
Getting a request parameter in Jinja2,{{request.args.get('a')}}
Python - Create list with numbers between 2 values?,"list(range(11, 17))"
type conversion in python from int to float,data_df['grade'] = data_df['grade'].astype(float).astype(int)
Sorting or Finding Max Value by the second element in a nested list. Python,"max(alkaline_earth_values, key=lambda x: x[1])"
How to remove leading and trailing zeros in a string? Python,your_string.strip('0')
Generating all unique pair permutations,"list(permutations(list(range(9)), 2))"
Python regular expression matching a multiline block of text,"re.compile('^(.+)(?:\\n|\\r\\n?)((?:(?:\\n|\\r\\n?).+)+)', re.MULTILINE)"
Python regular expression matching a multiline block of text,"re.compile('^(.+)\\n((?:\\n.+)+)', re.MULTILINE)"
How do you call a python file that requires a command line argument from within another python file?,"call(['path/to/python', 'test2.py', 'neededArgumetGoHere'])"
Sort a multidimensional list by a variable number of keys,"a.sort(key=operator.itemgetter(2, 3))"
Add another tuple to a tuple,"final_choices = ((another_choice,) + my_choices)"
Add another tuple to a tuple,"final_choices = ((another_choice,) + my_choices)"
Find current directory and file's directory,os.getcwd()
Find current directory and file's directory,os.path.realpath(__file__)
Find current directory and file's directory,os.path.dirname(path)
Find current directory and file's directory,os.path.realpath(path)
Find current directory,dir_path = os.path.dirname(os.path.realpath(__file__))
Find current directory,cwd = os.getcwd()
Find current directory,full_path = os.path.realpath(__file__)
Sort numpy matrix row values in ascending order,"arr[arr[:, (2)].argsort()]"
Sort numpy matrix row values in ascending order,"numpy.sort(arr, axis=0)"
split string on a number of different characters,"re.split('[ .]', 'a b.c')"
copying one file's contents to another in python,"shutil.copy('file.txt', 'file2.txt')"
What's the best way to generate random strings of a specific length in Python?,print(''.join(choice(ascii_uppercase) for i in range(12)))
How to merge the elements in a list sequentially in python,"[''.join(seq) for seq in zip(lst, lst[1:])]"
python: rename single column header in pandas dataframe,"data.rename(columns={'gdp': 'log(gdp)'}, inplace=True)"
Converting html to text with Python,print(soup.get_text())
python: sort a list of lists by an item in the sublist,"sorted(li, key=operator.itemgetter(1), reverse=True)"
Pandas - replacing column values,"data['sex'].replace([0, 1], ['Female', 'Male'], inplace=True)"
Regex punctuation split [Python],"re.split('\\W+', 'Words, words, words.')"
Limit the number of sentences in a string,"re.match('(.*?[.?!](?:\\s+.*?[.?!]){0,1})', phrase).group(1)"
Split string into strings of repeating elements,"print([a for a, b in re.findall('((\\w)\\2*)', s)])"
How does this function to remove duplicate characters from a string in python work?,print(' '.join(OrderedDict.fromkeys(s)))
How does this function to remove duplicate characters from a string in python work?,print(' '.join(set(s)))
How can i list only the folders in zip archive in Python?,[x for x in file.namelist() if x.endswith('/')]
How to find the count of a word in a string?,input_string.count('Hello')
Python: reduce (list of strings) -> string,print('.'.join([item[0] for item in data]))
Dumping subprcess output in a file in append mode,fh1.seek(2)
list of ints into a list of tuples python,"print(zip(my_list[0::2], my_list[1::2]))"
list of ints into a list of tuples python,"my_new_list = zip(my_list[0::2], my_list[1::2])"
"How to fix: ""UnicodeDecodeError: 'ascii' codec can't decode byte""",sys.setdefaultencoding('utf8')
Python datetime to string without microsecond component,datetime.datetime.now().strftime('%Y-%m-%d %H:%M:%S')
How to retrieve only arabic texts from a string using regular expression?,"print(re.findall('[\\u0600-\\u06FF]+', my_string))"
How to group DataFrame by a period of time?,df.groupby(df.index.map(lambda t: t.minute))
Accessing elements of python dictionary,dict['Apple']['American']
How to remove rows with null values from kth column onward in python,"df2.dropna(subset=['three', 'four', 'five'], how='all')"
How do I insert a list at the front of another list?,"a.insert(0, k)"
How do I insert a list at the front of another list?,a = a[:n] + k + a[n:]
Pyhon - Best way to find the 1d center of mass in a binary numpy array,np.flatnonzero(x).mean()
Keep only date part when using pandas.to_datetime,df['just_date'] = df['dates'].dt.date
Removing one list from another,[x for x in a if x not in b]
How do I transform a multi-level list into a list of strings in Python?,[''.join(x) for x in a]
How do I transform a multi-level list into a list of strings in Python?,"list(map(''.join, a))"
Matching blank lines with regular expressions,"re.split('\n\\s*\n', s)"
Merging items in a list - Python,"from functools import reduce
reduce(lambda x, y: 10 * x + y, [1, 2, 3, 4, 5])"
Convert float to comma-separated string,"""""""{0:,.2f}"""""".format(24322.34)"
How to pass dictionary items as function arguments in python?,my_function(**data)
get line count,sum((1 for line in open('myfile.txt')))
get line count,"def bufcount(filename):
    f = open(filename)
    lines = 0
    buf_size = (1024 * 1024)
    read_f = f.read
    buf = read_f(buf_size)
    while buf:
        lines += buf.count('\n')
        buf = read_f(buf_size)
    return lines"
How to round integers in python,"print(round(1123.456789, -1))"
Sorting list based on values from another list?,"[x for y, x in sorted(zip(Y, X))]"
Sorting list based on values from another list?,"[x for y, x in sorted(zip(Y, X))]"
How to get week number in Python?,"datetime.date(2010, 6, 16).isocalendar()[1]"
Select multiple ranges of columns in Pandas DataFrame,"df.iloc[:, (np.r_[1:10, (15), (17), 50:100])]"
Python Pandas: Multiple aggregations of the same column,"df.groupby('dummy').agg({'returns': [np.mean, np.sum]})"
convert string to lowercase,s.lower()
convert string to lowercase,s.decode('utf-8').lower()
How to download a file via FTP with Python ftplib,"ftp.retrbinary('RETR %s' % filename, file.write)"
How do I increase the timeout for imaplib requests?,"urlfetch.fetch(url, deadline=10 * 60)"
Output first 100 characters in a string,print(my_string[0:100])
matplotlib Legend Markers Only Once,legend(numpoints=1)
Python - How to calculate equal parts of two dictionaries?,"dict((x, set(y) & set(d1.get(x, ()))) for x, y in d2.items())"
load csv into 2D matrix with numpy for plotting,"numpy.loadtxt(open('test.csv', 'rb'), delimiter=',', skiprows=1)"
Django database query: How to filter objects by date range?,"Sample.objects.filter(date__range=['2011-01-01', '2011-01-31'])"
Django database query: How to filter objects by date range?,"Sample.objects.filter(date__year='2011', date__month='01')"
syntax for creating a dictionary into another dictionary in python,"d['dict3'] = {'spam': 5, 'ham': 6}"
How to apply numpy.linalg.norm to each row of a matrix?,"numpy.apply_along_axis(numpy.linalg.norm, 1, a)"
How to merge two Python dictionaries in a single expression?,"dict((k, v) for d in dicts for k, v in list(d.items()))"
Python. Convert escaped utf string to utf-string,print('your string'.decode('string_escape'))
Counting the number of True Booleans in a Python List,"sum([True, True, False, False, False, True])"
Matplotlib.animation: how to remove white margin,"fig.set_size_inches(w, h, forward=True)"
python string format() with dict with integer keys,'hello there %(5)s' % {'5': 'you'}
Python - converting a string of numbers into a list of int,"map(int, example_string.split(','))"
Python - converting a string of numbers into a list of int,"[int(s) for s in example_string.split(',')]"
Python list of tuples to list of int,x = [i[0] for i in x]
Python list of tuples to list of int,"y = map(operator.itemgetter(0), x)"
Python list of tuples to list of int,y = [i[0] for i in x]
How do I extract all the values of a specific key from a list of dictionaries?,results = [item['value'] for item in test_data]
ISO Time (ISO 8601) in Python,datetime.datetime.now().isoformat()
ISO Time (ISO 8601) in Python,datetime.datetime.utcnow().isoformat()
Merging data frame columns of strings into one single column in Pandas,"df.apply(' '.join, axis=0)"
pandas Subtract Dataframe with a row from another dataframe,"pd.DataFrame(df.values - df2.values, columns=df.columns)"
How can I detect DOS line breaks in a file?,"print(open('myfile.txt', 'U').read())"
Python - read text file with weird utf-16 format,print(line.decode('utf-16-le').split())
Python - read text file with weird utf-16 format,"file = io.open('data.txt', 'r', encoding='utf-16-le')"
Finding common rows (intersection) in two Pandas dataframes,"s1 = pd.merge(df1, df2, how='inner', on=['user_id'])"
How can I check a Python unicode string to see that it *actually* is proper Unicode?,foo.decode('utf8').encode('utf8')
Numpy array dimensions,a.shape
Numpy array dimensions,N.shape(a)
Numpy array dimensions,N.shape(a)
Numpy array dimensions,a.shape
How to search a list of tuples in Python,"[i for i, v in enumerate(L) if v[0] == 53]"
convert a string of bytes into an int (python),"struct.unpack('<L', 'y\xcc\xa6\xbb')[0]"
How to get the values from a NumPy array using multiple indices,"arr[[0, 1, 1], [1, 0, 2]]"
what's a good way to combinate through a set?,list(powerset('abcd'))
Converting from a string to boolean in Python?,"s in ['true', '1', 't', 'y', 'yes', 'yeah', 'yup', 'certainly', 'uh-huh']"
How do I url encode in Python?,urllib.parse.quote('http://spam.com/go/')
How can I get the output of a matplotlib plot as an SVG?,plt.savefig('test.svg')
Counting array elements in Python,len(myArray)
Python Embedding in C++ : ImportError: No module named pyfunction,"sys.path.insert(0, './path/to/your/modules/')"
How to plot with x-axis at the top of the figure?,ax.xaxis.set_ticks_position('top')
Python - Bulk Select then Insert from one DB to another,cursor.execute('INSERT OR REPLACE INTO master.table1 SELECT * FROM table1')
How do I use a regular expression to match a name?,"re.match('[a-zA-Z][\\w-]*\\Z', 'A\n')"
How do I use a regular expression to match a name?,"re.match('[a-zA-Z][\\w-]*$', '!A_B')"
Convert hex string to int,"int('deadbeef', 16)"
Convert hex string to int,"int('a', 16)"
Convert hex string to int,"int('0xa', 16)"
Convert hex string to int,"int(s, 16)"
Convert hex string to int,"int(hexString, 16)"
How to print variables without spaces between values,"print('Value is ""' + str(value) + '""')"
How to print variables without spaces between values,"print('Value is ""{}""'.format(value))"
How do I convert an array to string using the jinja template engine?,{{tags | join(' ')}}
get a list of locally installed Python modules,help('modules')
Slicing a multidimensional list,[[[x[0]] for x in listD[i]] for i in range(len(listD))]
Sort a string in lexicographic order python,"sorted(s, key=str.upper)"
Sort a string in lexicographic order python,"sorted(sorted(s), key=str.upper)"
Sort a string in lexicographic order python,"sorted(s, key=str.lower)"
Compare Python Pandas DataFrames for matching rows,"pd.merge(df1, df2, on=['A', 'B', 'C', 'D'], how='inner')"
get keys correspond to a value in dictionary,"dict((v, k) for k, v in map.items())"
How to decode unicode raw literals to readable string?,s.decode('unicode_escape')
What is the easiest way to convert list with str into list with int?,[int(i) for i in str_list]
What is the easiest way to convert list with str into list with int?,"map(int, ['1', '2', '3'])"
What is the easiest way to convert list with str into list with int?,"list(map(int, ['1', '2', '3']))"
Python BeautifulSoup Extract specific URLs,"soup.find_all('a', href=re.compile('http://www\\.iwashere\\.com/'))"
Python BeautifulSoup Extract specific URLs,"soup.find_all('a', href=re.compile('^(?!(?:[a-zA-Z][a-zA-Z0-9+.-]*:|//))'))"
Python: How can I execute a jar file through a python script,"subprocess.call(['java', '-jar', 'Blender.jar'])"
How can I insert NULL data into MySQL database with Python?,"cursor.execute('INSERT INTO table (`column1`) VALUES (%s)', (value,))"
remove a substring from the end of a string,"if url.endswith('.com'):
    url = url[:(-4)]"
remove a substring from the end of a string,"url = re.sub('\\.com$', '', url)"
remove a substring from the end of a string,"print(url.replace('.com', ''))"
remove a substring from the end of a string,"if (not text.endswith(suffix)):
    return text
return text[:(len(text) - len(suffix))]"
Python - print tuple elements with no brackets,"print(', ,'.join([str(i[0]) for i in mytuple]))"
Clamping floating numbers in Python?,"max(min(my_value, max_value), min_value)"
Splitting a string into words and punctuation,"re.findall('\\w+|[^\\w\\s]', text, re.UNICODE)"
How to execute raw SQL in SQLAlchemy-flask app,result = db.engine.execute('<sql here>')
Is there a method that tells my program to quit?,sys.exit(0)
Python - find digits in a string,""""""""""""".join(c for c in my_string if c.isdigit())"
python split string based on regular expression,"re.split(' +', str1)"
python split string based on regular expression,"re.findall('\\S+', str1)"
Python: How to get attribute of attribute of an object with getattr?,"getattr(getattr(myobject, 'id', None), 'number', None)"
Convert generator object to a dictionary,{i: (i * 2) for i in range(10)}
Convert generator object to a dictionary,"dict((i, i * 2) for i in range(10))"
How do I tell matplotlib that I am done with a plot?,plt.cla()
Python Convert String Literal to Float,"total = sum(float(item) for item in s.split(','))"
Python ASCII to binary,bin(ord('P'))
Get a string after a specific substring,"print(my_string.split(', ', 1)[1])"
Python Accessing Nested JSON Data,print(data['places'][0]['post code'])
Python RegEx using re.sub with multiple patterns,"word = re.sub('([aeiou]):(([aeiou][^aeiou]*){3})$', '\\1\\2', word)"
How to extract data from JSON Object in Python?,"json.loads('{""foo"": 42, ""bar"": ""baz""}')['bar']"
Convert JSON array to Python list,data = json.loads(array)
Convert JSON array to Python list,data = json.loads(array)
Parsing a tweet to extract hashtags into an array in Python,"re.findall('#(\\w+)', 'http://example.org/#comments')"
Python - Fastest way to check if a string contains specific characters in any of the items in a list,any(e in lestring for e in lelist)
How to plot two columns of a pandas data frame using points?,"df.plot(x='col_name_1', y='col_name_2', style='o')"
Parsing HTML,"parsed_html = BeautifulSoup(html)
print(parsed_html.body.find('div', attrs={'class': 'container', }).text)"
Parsing HTML,"page = urllib.request.urlopen('http://www.google.com/')
soup = BeautifulSoup(page)"
change figure size and figure format in matplotlib,"plt.figure(figsize=(3, 4))"
Best way to strip punctuation from a string in Python,"s.translate(None, string.punctuation)"
Django urlsafe base64 decoding with decryption,base64.urlsafe_b64decode(uenc.encode('ascii'))
Get the number of all keys in a dictionary of dictionaries in Python,len(dict_test) + sum(len(v) for v in dict_test.values())
Python convert decimal to hex,hex(d).split('x')[1]
converting integer to list in python,list(str(123))
converting integer to list in python,[int(x) for x in str(num)]
Python Mechanize select a form with no name,br.select_form(nr=0)
Python load json file with UTF-8 BOM header,"json.load(codecs.open('sample.json', 'r', 'utf-8-sig'))"
Python load json file with UTF-8 BOM header,json.loads(open('sample.json').read().decode('utf-8-sig'))
Issue sending email with python?,"server = smtplib.SMTP('smtp.gmail.com', 587)"
Reversing bits of Python integer,"int('{:08b}'.format(n)[::-1], 2)"
Pandas DataFrame Add column to index without resetting,"df.set_index(['d'], append=True)"
Iterating over dictionaries using for loops,"for (key, value) in d.items():
    pass"
Iterating over dictionaries using for loops,"for (key, value) in list(d.items()):
    pass"
Iterating over dictionaries using for loops,"for (letter, number) in list(d.items()):
    pass"
Iterating over dictionaries using for loops,"for (k, v) in list(d.items()):
    pass"
Iterating over dictionaries using for loops,list(d.items())
Iterating over dictionaries using for loops,list(d.items())
Iterating over dictionaries using for loops,"for (k, v) in list(d.items()):
    pass"
Iterating over dictionaries using for loops,"for (letter, number) in list(d.items()):
    pass"
Iterating over dictionaries using for loops,"for (letter, number) in list(d.items()):
    pass"
How do I implement a null coalescing operator in SQLAlchemy?,session.query(Task).filter(Task.time_spent > timedelta(hours=3)).all()
How do I compile a Visual Studio project from the command-line?,os.system('msbuild project.sln /p:Configuration=Debug')
Get max key in dictionary,"max(list(MyCount.keys()), key=int)"
Can I use an alias to execute a program from a python script,os.system('source .bashrc; shopt -s expand_aliases; nuke -x scriptPath')
How to get a function name as a string in Python?,my_function.__name__
How to get a function name as a string in Python?,my_function.__name__
How to check if all values in the columns of a numpy matrix are the same?,"np.all(a == a[(0), :], axis=0)"
Sorting a list of tuples by the addition of second and third element of the tuple,"sorted(a, key=lambda x: (sum(x[1:3]), x[0]))"
Sorting a list of tuples by the addition of second and third element of the tuple,"sorted(a, key=lambda x: (sum(x[1:3]), x[0]), reverse=True)"
Sorting a list of tuples by the addition of second and third element of the tuple,"sorted(lst, key=lambda x: (sum(x[1:]), x[0]))"
Sorting a list of tuples by the addition of second and third element of the tuple,"sorted(lst, key=lambda x: (sum(x[1:]), x[0]), reverse=True)"
Add headers in a Flask app with unicode_literals,"response.headers['WWW-Authenticate'] = 'Basic realm=""test""'"
"In Django, how do I clear a sessionkey?",del request.session['mykey']
Python date string to date object,"datetime.datetime.strptime('24052010', '%d%m%Y').date()"
Replace non-ASCII characters with a single space,"re.sub('[^\\x00-\\x7F]+', ' ', text)"
List of lists into numpy array,"numpy.array([[1, 2], [3, 4]])"
What does a for loop within a list do in Python?,myList = [i for i in range(10)]
using regular expression to split string in python,[m[0] for m in re.compile('((.+?)\\2+)').findall('44442(2)2(2)44')]
using regular expression to split string in python,"[i[0] for i in re.findall('((\\d)(?:[()]*\\2*[()]*)*)', s)]"
How to remove the space between subplots in matplotlib.pyplot?,"fig.subplots_adjust(wspace=0, hspace=0)"
How to reverse tuples in Python?,x[::-1]
Python JSON encoding,"json.dumps({'apple': 'cat', 'banana': 'dog', 'pear': 'fish'})"
Writing List of Strings to Excel CSV File in Python,csvwriter.writerow(row)
How to convert datetime to string in python in django,{{(item.date | date): 'Y M d'}}
Non-consuming regular expression split in Python,"re.split('(?<=[\\.\\?!]) ', text)"
UTF in Python Regex,re.compile('\xe2\x80\x93')
declare an array,variable = []
declare an array,intarray = array('i')
How to reverse the elements in a sublist?,[sublist[::-1] for sublist in to_reverse[::-1]]
Replace all non-alphanumeric characters in a string,"re.sub('[^0-9a-zA-Z]+', '*', 'h^&ell`.,|o w]{+orld')"
Python: unescape special characters without splitting data,""""""""""""".join(['I ', '<', '3s U ', '&', ' you luvz me'])"
How can I disable logging while running unit tests in Python Django?,logging.disable(logging.CRITICAL)
Adding url to mysql row in python,"cursor.execute('INSERT INTO index(url) VALUES(%s)', (url,))"
Convert column of date objects in Pandas DataFrame to strings,df['DateStr'] = df['DateObj'].dt.strftime('%d%m%Y')
python regex get first part of an email address,s.split('@')[0]
Python Pandas: drop rows of a timeserie based on time range,df.query('index < @start_remove or index > @end_remove')
Python Pandas: drop rows of a timeserie based on time range,df.loc[(df.index < start_remove) | (df.index > end_remove)]
How to count the Nan values in the column in Panda Data frame,df.isnull().sum()
Turn Pandas Multi-Index into column,df.reset_index(inplace=True)
python getting a list of value from list of dict,[x['value'] for x in list_of_dicts]
python getting a list of value from list of dict,[d['value'] for d in l]
python getting a list of value from list of dict,[d['value'] for d in l if 'value' in d]
Converting NumPy array into Python List structure?,"np.array([[1, 2, 3], [4, 5, 6]]).tolist()"
Converting string to tuple and adding to tuple,"ast.literal_eval('(1,2,3,4)')"
How to keep a list of lists sorted as it is created,dataList.sort(key=lambda x: x[1])
Python: Uniqueness for list of lists,"list(map(list, set(map(lambda i: tuple(i), testdata))))"
Python: Uniqueness for list of lists,[list(i) for i in set(tuple(i) for i in testdata)]
"In Django, how do I check if a user is in a certain group?",return user.groups.filter(name='Member').exists()
"In Django, how do I check if a user is in a certain group?","return user.groups.filter(name__in=['group1', 'group2']).exists()"
Dynamically changing log level in python without restarting the application,logging.getLogger().setLevel(logging.DEBUG)
How to transform a tuple to a string of values without comma and parentheses,""""""""""""".join(str(i) for i in (34.2424, -64.2344, 76.3534, 45.2344))"
What is the simplest way to swap char in a string with Python?,""""""""""""".join([s[x:x + 2][::-1] for x in range(0, len(s), 2)])"
Drawing a huge graph with networkX and matplotlib,"plt.savefig('graph.png', dpi=1000)"
delete items from list of list: pythonic way,my_list = [[x for x in sublist if x not in to_del] for sublist in my_list]
Find an element in a list of tuples,[item for item in a if 1 in item]
Find an element in a list of tuples,[item for item in a if item[0] == 1]
How can I get the index value of a list comprehension?,"{p.id: {'id': p.id, 'position': ind} for ind, p in enumerate(p_list)}"
how to uniqify a list of dict in python,[dict(y) for y in set(tuple(x.items()) for x in d)]
How do I load a file into the python console?,"exec(compile(open('file.py').read(), 'file.py', 'exec'))"
Get the number of rows in table using SQLAlchemy,rows = session.query(Congress).count()
Execute Shell Script from python with variable,"subprocess.call(['test.sh', str(domid)])"
How to read a .xlsx file using the pandas Library in iPython?,"dfs = pd.read_excel(file_name, sheetname=None)"
Reading hex to double-precision float python,"struct.unpack('d', binascii.unhexlify('4081637ef7d0424a'))"
Indexing numpy array with another numpy array,a[tuple(b)]
How to find all possible sequences of elements in a list?,"map(list, permutations([2, 3, 4]))"
Sort a list in python based on another sorted list,"sorted(unsorted_list, key=presorted_list.index)"
How to get yesterday in python,datetime.datetime.now() - datetime.timedelta(days=1)
Creating a zero-filled pandas data frame,"d = pd.DataFrame(0, index=np.arange(len(data)), columns=feature_list)"
string find,x.find('World')
string find,x.find('Aloha')
string find,'sdfasdf'.index('cc')
string find,'sdfasdf'.index('df')
string find,str.find('a')
string find,str.find('g')
string find,"str.find('s', 11)"
string find,"str.find('s', 15)"
string find,"str.find('s', 16)"
string find,"str.find('s', 11, 14)"
Sort list of date strings,"sorted(d, key=lambda x: datetime.datetime.strptime(x, '%m-%Y'))"
Regular expression in Python sentence extractor,"re.split('\\.\\s', text)"
Regular expression in Python sentence extractor,"re.split('\\.\\s', re.sub('\\.\\s*$', '', text))"
Python - How to cut a string in Python?,"""""""foobar""""""[:4]"
Python - How to cut a string in Python?,s.rfind('&')
Python - How to cut a string in Python?,s[:s.rfind('&')]
Using a variable in xpath in Python Selenium,"driver.find_element_by_xpath(""//option[@value='"" + state + ""']"").click()"
append to a file,"with open('test.txt', 'a') as myfile:
    myfile.write('appended text')"
append to a file,"with open('foo', 'a') as f:
    f.write('cool beans...')"
append to a file,"with open('test1', 'ab') as f:
    pass"
append to a file,"open('test', 'a+b').write('koko')"
How can I split a string into tokens?,"print([i for i in re.split('([\\d.]+|\\W+)', 'x+13.5*10x-4e1') if i])"
Python: Check if a string contains chinese character?,"re.findall('[\u4e00-\u9fff]+', ipath)"
String splitting in Python,s.split('s')
How to start a background process in Python?,"subprocess.Popen(['rm', '-r', 'some.file'])"
Elegant way to transform a list of dict into a dict of dicts,"dict((d['name'], d) for d in listofdict)"
print date in a regular format,datetime.datetime.now().strftime('%Y-%m-%d %H:%M')
print date in a regular format,time.strftime('%Y-%m-%d %H:%M')
Finding consecutive consonants in a word,"re.findall('[bcdfghjklmnpqrstvwxyz]+', 'CONCERTATION', re.IGNORECASE)"
How do I get a list of indices of non zero elements in a list?,"[i for i, e in enumerate(a) if e != 0]"
How to get integer values from a string in Python?,"map(int, re.findall('\\d+', string1))"
How can I know python's path under windows?,os.path.dirname(sys.executable)
Moving x-axis to the top of a plot in matplotlib,ax.xaxis.set_label_position('top')
Moving x-axis to the top of a plot in matplotlib,ax.xaxis.tick_top()
Moving x-axis to the top of a plot in matplotlib,ax.xaxis.set_ticks_position('top')
Parsing non-zero padded timestamps in Python,"datetime.strptime('2015/01/01 12:12am', '%Y/%m/%d %I:%M%p')"
Open images,"img = Image.open('picture.jpg')
img.show()"
Open images,"img = Image.open('picture.jpg')
Img.show"
How do I abort the execution of a Python script?,sys.exit(0)
How do I abort the execution of a Python script?,sys.exit('aa! errors!')
How do I abort the execution of a Python script?,sys.exit()
Find maximum with limited length in a list,"[max(abs(x) for x in arr[i:i + 4]) for i in range(0, len(arr), 4)]"
How to set the current working directory in Python?,os.chdir('c:\\Users\\uname\\desktop\\python')
How to set the current working directory in Python?,os.chdir(path)
How to remove all integer values from a list in python,"no_integers = [x for x in mylist if not isinstance(x, int)]"
How do I match contents of an element in XPath (lxml)?,"tree.xpath("".//a[text()='Example']"")[0].tag"
convert dictionaries into string python,""""""", """""".join([(str(k) + ' ' + str(v)) for k, v in list(a.items())])"
Detecting non-ascii characters in unicode string,"print(set(re.sub('[\x00-\x7f]', '', '\xa3\u20ac\xa3\u20ac')))"
Detecting non-ascii characters in unicode string,"print(re.sub('[\x00-\x7f]', '', '\xa3100 is worth more than \u20ac100'))"
Convert a String representation of a Dictionary to a dictionary?,"ast.literal_eval(""{'muffin' : 'lolz', 'foo' : 'kitty'}"")"
Easiest way to remove unicode representations from a string in python 3?,print(t.decode('unicode_escape'))
String encoding and decoding from possibly latin1 and utf8,print(str.encode('cp1252').decode('utf-8').encode('cp1252').decode('utf-8'))
merge lists into a list of tuples,"zip(list_a, list_b)"
merge lists into a list of tuples,"list(zip(a, b))"
